X,EFiRAP,Multi-R,Sophon
10,48,47.99999587,61
11,42,44.99999727,59
12,51,55.24999429,57
13,49,49.99999706,65
14,56,53.99999493,71
15,62,63.49999582,72
16,56,57.99999738,73
17,75,65.74999915,85
18,69,63.99999725,94
19,69,59.25000084,83
20,74,64.24999361,85
21,76,60.99999242,98
22,90,74.00000225,108
23,93,69.50000079,108
24,87,68.50000425,105
25,100,62.00000662,109
26,101,72.50000005,110
27,107,69.29545894,125
28,117,73.0000015,122
29,116,77.50000384,126
30,114,75.24999929,125
